ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"51","Health","5138","Registered Nursing, Nursing Administration, & Nursing Research","513801","Registered Nursing",2017,"2017",5,"Bachelors Degree",1068,"registered-nursing","Chicago, IL","16000US1714000","chicago-il"
"54","History","5401","History","540104","History & Philosophy of Science & Technology",2017,"2017",5,"Bachelors Degree",5,"history-philosophy-of-science-technology","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500411","Game & Interactive Media Design",2017,"2017",5,"Bachelors Degree",17,"game-interactive-media-design","Chicago, IL","16000US1714000","chicago-il"
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030104","Environmental Science",2017,"2017",5,"Bachelors Degree",75,"environmental-science","Chicago, IL","16000US1714000","chicago-il"
"03","Natural Resources & Conservation","0302","Natural Resource Management & Policy","030201","Natural Resource Management & Policy",2017,"2017",5,"Bachelors Degree",10,"natural-resource-management-policy-030201","Chicago, IL","16000US1714000","chicago-il"
"54","History","5401","History","540101","General History",2017,"2017",5,"Bachelors Degree",249,"general-history","Chicago, IL","16000US1714000","chicago-il"
"04","Architecture and Related Services","0402","Architecture","040201","Architecture",2017,"2017",5,"Bachelors Degree",169,"architecture-040201","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500499","Other Design & Applied Arts",2017,"2017",5,"Bachelors Degree",0,"other-design-applied-arts","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500410","Illustration",2017,"2017",5,"Bachelors Degree",64,"illustration","Chicago, IL","16000US1714000","chicago-il"
"04","Architecture and Related Services","0405","Interior Architecture","040501","Interior Architecture",2017,"2017",5,"Bachelors Degree",5,"interior-architecture-040501","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5299","Other Business, Management, Marketing, & Related Services","529999","Other Business, Management, Marketing, & Related Support Services",2017,"2017",5,"Bachelors Degree",33,"other-business-management-marketing-related-support-services","Chicago, IL","16000US1714000","chicago-il"
"04","Architecture and Related Services","0408","Architectural History & Criticism","040801","General Architectural History & Criticism",2017,"2017",5,"Bachelors Degree",7,"general-architectural-history-criticism","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500409","Graphic Design",2017,"2017",5,"Bachelors Degree",229,"graphic-design","Chicago, IL","16000US1714000","chicago-il"
"04","Architecture and Related Services","0499","Other Architecture Studies","049999","Other Architecture & Related Services",2017,"2017",5,"Bachelors Degree",0,"other-architecture-related-services","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050101","African Studies",2017,"2017",5,"Bachelors Degree",7,"african-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5219","Specialized Sales, Merchandising, & Marketing Operations","521902","Fashion Merchandising",2017,"2017",5,"Bachelors Degree",36,"fashion-merchandising","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5005","Theater Arts & Stagecraft","500501","General Drama & Theater Arts",2017,"2017",5,"Bachelors Degree",75,"general-drama-theater-arts","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050102","American & U.S. Studies",2017,"2017",5,"Bachelors Degree",2,"american-us-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500408","Interior Design",2017,"2017",5,"Bachelors Degree",71,"interior-design","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050104","East Asian Studies",2017,"2017",5,"Bachelors Degree",3,"east-asian-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5215","Real Estate","521501","Real Estate",2017,"2017",5,"Bachelors Degree",14,"real-estate-521501","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050107","Latin American Studies",2017,"2017",5,"Bachelors Degree",24,"latin-american-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500407","Fashion & Apparel Design",2017,"2017",5,"Bachelors Degree",57,"fashion-apparel-design","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5005","Theater Arts & Stagecraft","500502","Technical Theatre Design & Technology",2017,"2017",5,"Bachelors Degree",51,"technical-theatre-design-technology","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500406","Commercial Photography",2017,"2017",5,"Bachelors Degree",10,"commercial-photography","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050111","Scandinavian Studies",2017,"2017",5,"Bachelors Degree",1,"scandinavian-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5214","Marketing","521402","Marketing Research",2017,"2017",5,"Bachelors Degree",0,"marketing-research","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050123","Chinese Studies",2017,"2017",5,"Bachelors Degree",5,"chinese-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5214","Marketing","521401","General Marketing & Marketing Management",2017,"2017",5,"Bachelors Degree",593,"general-marketing-marketing-management","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500404","Industrial & Product Design",2017,"2017",5,"Bachelors Degree",33,"industrial-product-design","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0501","Area Studies","050125","German Studies",2017,"2017",5,"Bachelors Degree",4,"german-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5005","Theater Arts & Stagecraft","500504","Playwriting & Screenwriting",2017,"2017",5,"Bachelors Degree",9,"playwriting-screenwriting","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050201","African-American & Black Studies",2017,"2017",5,"Bachelors Degree",14,"african-american-black-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5213","Management Sciences & Quantitative Methods","521304","Actuarial Science",2017,"2017",5,"Bachelors Degree",8,"actuarial-science","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500402","Commercial & Advertising Art",2017,"2017",5,"Bachelors Degree",38,"commercial-advertising-art","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050207","Women's Studies",2017,"2017",5,"Bachelors Degree",17,"womens-studies","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050210","Disability Studies",2017,"2017",5,"Bachelors Degree",1,"disability-studies","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050211","Deaf Studies",2017,"2017",5,"Bachelors Degree",2,"deaf-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500401","General Design & Visual Communications",2017,"2017",5,"Bachelors Degree",17,"general-design-visual-communications","Chicago, IL","16000US1714000","chicago-il"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050299","Other Ethnic, Minority, Gender, & Group Studies",2017,"2017",5,"Bachelors Degree",41,"other-ethnic-minority-gender-group-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5213","Management Sciences & Quantitative Methods","521301","Management Science",2017,"2017",5,"Bachelors Degree",384,"management-science","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0901","Communication and Media Studies","090100","General Communication",2017,"2017",5,"Bachelors Degree",87,"general-communication","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5005","Theater Arts & Stagecraft","500505","Theatre Literature, History, & Criticism",2017,"2017",5,"Bachelors Degree",4,"theatre-literature-history-criticism","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5003","Dance","500301","General Dance",2017,"2017",5,"Bachelors Degree",24,"general-dance","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0901","Communication and Media Studies","090101","Speech Communication & Rhetoric",2017,"2017",5,"Bachelors Degree",125,"speech-communication-rhetoric","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5212","Management Information Systems & Services","521201","General Management Information Systems",2017,"2017",5,"Bachelors Degree",98,"general-management-information-systems","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0901","Communication and Media Studies","090102","Mass Communication & Media Studies",2017,"2017",5,"Bachelors Degree",114,"mass-communication-media-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5001","General Visual & Performaing Arts","500102","Digital Arts",2017,"2017",5,"Bachelors Degree",2,"digital-arts","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0901","Communication and Media Studies","090199","Other Communication & Media Studies",2017,"2017",5,"Bachelors Degree",143,"other-communication-media-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5211","International Business","521101","International Business, Trade, & Commerce",2017,"2017",5,"Bachelors Degree",34,"international-business-trade-commerce","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0904","Journalism","090401","Journalism",2017,"2017",5,"Bachelors Degree",140,"journalism-090401","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0904","Journalism","090404","Photojournalism",2017,"2017",5,"Bachelors Degree",1,"photojournalism","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5005","Theater Arts & Stagecraft","500506","Acting",2017,"2017",5,"Bachelors Degree",102,"acting","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5001","General Visual & Performaing Arts","500101","General Visual & Performing Arts",2017,"2017",5,"Bachelors Degree",15,"general-visual-performing-arts","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0904","Journalism","090499","Other Journalism",2017,"2017",5,"Bachelors Degree",0,"other-journalism","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5210","Human Resource Management & Services","521005","Human Resource Development",2017,"2017",5,"Bachelors Degree",43,"human-resource-development","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0907","Radio, Television, & Digital Communication","090701","Radio & Television",2017,"2017",5,"Bachelors Degree",117,"radio-television","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5210","Human Resource Management & Services","521003","Organizational Behavior Studies",2017,"2017",5,"Bachelors Degree",0,"organizational-behavior-studies","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0907","Radio, Television, & Digital Communication","090702","Digital Communication & Multimedia",2017,"2017",5,"Bachelors Degree",26,"digital-communication-multimedia","Chicago, IL","16000US1714000","chicago-il"
"47","Mechanical Technologies","4706","Vehicle Maintenance & Repair Technologies","470607","Airframe Mechanics & Aircraft Maintenance Technology",2017,"2017",5,"Bachelors Degree",14,"airframe-mechanics-aircraft-maintenance-technology","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090901","General Organizational Communication",2017,"2017",5,"Bachelors Degree",36,"general-organizational-communication","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5005","Theater Arts & Stagecraft","500507","Directing & Theatrical Production",2017,"2017",5,"Bachelors Degree",17,"directing-theatrical-production","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090902","Public Relations & Image Management",2017,"2017",5,"Bachelors Degree",39,"public-relations-image-management","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5210","Human Resource Management & Services","521001","General Human Resources Management & Personnel Administration",2017,"2017",5,"Bachelors Degree",50,"general-human-resources-management-personnel-administration","Chicago, IL","16000US1714000","chicago-il"
"45","Social Sciences","4599","Other Social Sciences","459999","Other Social Sciences",2017,"2017",5,"Bachelors Degree",17,"other-social-sciences-459999","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090903","Advertising",2017,"2017",5,"Bachelors Degree",44,"advertising","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090907","International & Intercultural Communication",2017,"2017",5,"Bachelors Degree",4,"international-intercultural-communication","Chicago, IL","16000US1714000","chicago-il"
"45","Social Sciences","4512","Urban Affairs","451201","Urban Studies",2017,"2017",5,"Bachelors Degree",23,"urban-studies","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090908","Technical & Scientific Communication",2017,"2017",5,"Bachelors Degree",2,"technical-scientific-communication","Chicago, IL","16000US1714000","chicago-il"
