COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
'Englewood','301 W. Marquette Road',60621,41.77256377,-87.63241932
"'Washington Park',",'5556 S. Michigan Ave.',60637,41.79297452,-87.62256852
"'Humboldt Park',",'526 N. Troy St.',60624,41.89117274,-87.70533834
"'Grand Boulevard',",'727 E. 50th Pl',60615,41.80303973,-87.60775489
"'Uptown',",'4878 N. Magnolia Ave.',60640,41.97121983,-87.66124806
"'South Shore',",'7020 S. Jeffrey Blvd.',60649,41.76735295,-87.57647796
"'Near West Side',",'216 S. Hoyne Ave.',60612,41.87812559,-87.67915413
"'Albany Park',",'4444 W. Lawrence Ave.',60630,41.96822423,-87.73974749
"'Grand Boulevard',",'4448 S. State St.',60609,41.81319493,-87.6263368
"'Logan Square',",'1955 N. St. Louis Ave.',60647,41.91725524,-87.71338923
"'Humboldt Park',",'3541 W. North Ave.',60647,41.90989234,-87.71605298
"'Near North Side',",'1512 N. LaSalle St.',60610,41.90959014,-87.63324548
"'North Lawndale',",'1256-60 S. Washtenaw Ave.',60608,41.86484279,-87.69350892
"'Pullman',",'901 E. 104th St.',60628,41.70556659,-87.60107403
"'Auburn Gresham',",'1222 W. 79th St.',60620,41.75059341,-87.65472675
"'Humboldt Park',",'649 N. Sawyer Ave.',60624,41.89338882,-87.70756503
"'New City',",'4600 S. Wood St.',60609,41.81028546,-87.67002227
"'West Lawn',",'6800 S. Keating Ave.',60629,41.76947523,-87.74048606
"'North Lawndale',",'1303-15 S. Fairfield Ave.',60608,41.86448798,-87.69443508
"'Lower West Side',",'2012 W. 17th St.',60608,41.8586567,-87.67659689
"'Austin',",'557 N. Pine Ave.',60644,41.8905194,-87.76324864
"'West Ridge',",'6057 N. Lincoln Ave.',60659,41.99186565,-87.70954508
"'West Ridge',",'6142 N. California Ave.',60659,41.99344157,-87.69964542
"'East Garfield Park',",'908 S. Central Park Ave.',60624,41.86966928,-87.71567245
"'Humboldt Park',",'3145 W. Franklin Blvd.',60624,41.88996815,-87.7057294
"'Uptown',",'4130 N. Kenmore Ave.',60640,41.95758244,-87.65636944
"'Kenwood',",'837 E. 47th St.',60653,41.80944088,-87.60503342
"'Logan Square',",'2733 W. Belden Ave.',60647,41.92282434,-87.69674313
"'West Town',",'1100 N. Ashland Ave.',60622,41.901559,-87.66759184
"'Douglas',",'3506 S. State St.',60609,41.83078218,-87.62679018
"'Woodlawn',",'6400 S. Maryland Ave.',60637,41.77861094,-87.60479472
"'Belmont Cragin',",'2917-39 N. Central Ave.',60634,41.93364805,-87.7661803
"'Oakland',",'3750 S. Cottage Grove Ave.',60653,41.82637057,-87.60828676
"'Oakland',",'1125 E. Bowen Ave.',60653,41.81871188,-87.59894571
"'Roseland',",'63 E. 104th St.',60628,41.70526978,-87.62098184
"'Douglas',",'3845 S. State St.',60609,41.82420114,-87.62627123
"'Belmont Cragin',",'6045 W. Grand Ave.',60639,41.92079101,-87.77747755
"'North Lawndale',",'10 N. Hamlin Ave.',60613,41.88109233,-87.72091009
"'West Town',",'1154 N. Campbell St.',60622,41.90287808,-87.68963252
"'East Garfield Park',",'3333 W. Maypole Ave.',60624,41.88346519,-87.71003991
"'Austin',",'126 S. Central Ave.',60644,41.87849467,-87.76494803
"'West Englewood',",'1656 W. 63rd St.',60636,41.77953039,-87.66652651
"'Humboldt Park',",'642 N. Kedzie Ave.',60612,41.89317664,-87.70663122
"'Humboldt Park',",'541 N. Homan Ave.',60624,41.89148035,-87.71116895
"'Uptown',",'850 W. Eastwood Ave.',60640,41.96652845,-87.65171856
"'Washington Park',",'5441 S. Michigan Ave.',60615,41.7952753,-87.62233438
"'Lower West Side',",'2014 S. Racine Ave.',60608,41.85469028,-87.65647821
"'Lakeview',",'734 W. Sheridan Rd.',60613,41.95286969,-87.64934018
"'Loop',",'188 W. Randolph St.',60601,41.88457966,-87.63375683
"'Austin',",'5327 W. Chicago Ave.',60651,41.89479143,-87.75927048
"'Woodlawn',",'6146 S. Kenwood Ave.',60637,41.78280346,-87.59326131
"'Douglas',",'3700 S. Dearborn St.',60609,41.82719422,-87.62784358
"'Grand Boulevard',",'436 E. 47th St.',60653,41.80952057,-87.61482402
"'North Park',",'5801 N. Pulaski Road',60646,41.98593151,-87.72836921
"'Woodlawn',",'6522 S. Ingleside Ave.',60637,41.77610371,-87.60232857
"'South Deering',",'2260 E. 99th St.',60617,41.71539824,-87.56871495
"'Kenwood',",'4657 S. Drexel Blvd',60653,41.80971394,-87.60375337
"'Near West Side',",'110 N. Wood St.',60612,41.88355426,-87.67195337
"'Oakland',",'1061 E. 41st Place',60653,41.81978129,-87.59992527
"'East Garfield Park',",'3607 W. Polk St.',60624,41.87072555,-87.71590797
"'Roseland',",'10513 S. Michigan Ave.',60628,41.70307738,-87.62054468
"'Garfield Ridge',",'5839 S. Harlem Ave.',60638,41.78535412,-87.801098
"'North Lawndale',",'1129 S. Sacramento Ave.',60612,41.86736961,-87.70066623
"'Bridgeport',",'2825 S. Halsted St.',60608,41.84272915,-87.64624727
"'Near North Side',",'1200 N. Clybourn Ave.',60622,41.90378958,-87.63982077
"'Lincoln Square',",'4618 N. Western Ave.',60625,41.96549759,-87.68895433
"'South Chicago',",'3251 E. 92nd St.',60617,41.72821355,-87.54469279
"'West Garfield Park',",'2822 W. Jackson Blvd.',60612,41.87753589,-87.69706305
"'Near North Side',",'1311 N. Halsted St.',60642,41.90543825,-87.64798274
"'North Lawndale',",'1859 S. Pulaski Ave.',60623,41.85533972,-87.72471008
"'Grand Boulevard',",'4642 S. Michigan Ave.',60653,41.80982565,-87.62299938
