COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
'Englewood','301 W. Marquette Road',60621,41.7726,-87.6324
"'Washington Park',",'5556 S. Michigan Ave.',60637,41.793,-87.6226
"'Humboldt Park',",'526 N. Troy St.',60624,41.8912,-87.7053
"'Grand Boulevard',",'727 E. 50th Pl',60615,41.803,-87.6078
"'Uptown',",'4878 N. Magnolia Ave.',60640,41.9712,-87.6612
"'South Shore',",'7020 S. Jeffrey Blvd.',60649,41.7674,-87.5765
"'Near West Side',",'216 S. Hoyne Ave.',60612,41.8781,-87.6792
"'Albany Park',",'4444 W. Lawrence Ave.',60630,41.9682,-87.7397
"'Grand Boulevard',",'4448 S. State St.',60609,41.8132,-87.6263
"'Logan Square',",'1955 N. St. Louis Ave.',60647,41.9173,-87.7134
"'Humboldt Park',",'3541 W. North Ave.',60647,41.9099,-87.7161
"'Near North Side',",'1512 N. LaSalle St.',60610,41.9096,-87.6332
"'North Lawndale',",'1256-60 S. Washtenaw Ave.',60608,41.8648,-87.6935
"'Pullman',",'901 E. 104th St.',60628,41.7056,-87.6011
"'Auburn Gresham',",'1222 W. 79th St.',60620,41.7506,-87.6547
"'Humboldt Park',",'649 N. Sawyer Ave.',60624,41.8934,-87.7076
"'New City',",'4600 S. Wood St.',60609,41.8103,-87.67
"'West Lawn',",'6800 S. Keating Ave.',60629,41.7695,-87.7405
"'North Lawndale',",'1303-15 S. Fairfield Ave.',60608,41.8645,-87.6944
"'Lower West Side',",'2012 W. 17th St.',60608,41.8587,-87.6766
"'Austin',",'557 N. Pine Ave.',60644,41.8905,-87.7632
"'West Ridge',",'6057 N. Lincoln Ave.',60659,41.9919,-87.7095
"'West Ridge',",'6142 N. California Ave.',60659,41.9934,-87.6996
"'East Garfield Park',",'908 S. Central Park Ave.',60624,41.8697,-87.7157
"'Humboldt Park',",'3145 W. Franklin Blvd.',60624,41.89,-87.7057
"'Uptown',",'4130 N. Kenmore Ave.',60640,41.9576,-87.6564
"'Kenwood',",'837 E. 47th St.',60653,41.8094,-87.605
"'Logan Square',",'2733 W. Belden Ave.',60647,41.9228,-87.6967
"'West Town',",'1100 N. Ashland Ave.',60622,41.9016,-87.6676
"'Douglas',",'3506 S. State St.',60609,41.8308,-87.6268
"'Woodlawn',",'6400 S. Maryland Ave.',60637,41.7786,-87.6048
"'Belmont Cragin',",'2917-39 N. Central Ave.',60634,41.9336,-87.7662
"'Oakland',",'3750 S. Cottage Grove Ave.',60653,41.8264,-87.6083
"'Oakland',",'1125 E. Bowen Ave.',60653,41.8187,-87.5989
"'Roseland',",'63 E. 104th St.',60628,41.7053,-87.621
"'Douglas',",'3845 S. State St.',60609,41.8242,-87.6263
"'Belmont Cragin',",'6045 W. Grand Ave.',60639,41.9208,-87.7775
"'North Lawndale',",'10 N. Hamlin Ave.',60613,41.8811,-87.7209
"'West Town',",'1154 N. Campbell St.',60622,41.9029,-87.6896
"'East Garfield Park',",'3333 W. Maypole Ave.',60624,41.8835,-87.71
"'Austin',",'126 S. Central Ave.',60644,41.8785,-87.7649
"'West Englewood',",'1656 W. 63rd St.',60636,41.7795,-87.6665
"'Humboldt Park',",'642 N. Kedzie Ave.',60612,41.8932,-87.7066
"'Humboldt Park',",'541 N. Homan Ave.',60624,41.8915,-87.7112
