"longitude","violations","address","zip_code","community_area_names"
-87.6204,38603,"'300 E. 26th Street'",60616,"'Near South Side',"
-87.6204,38603,"'6143-51 S. Indiana Ave.'",60637,"'Washington Park',"
-87.6204,38603,"'223 E. 41st St.'",60653,"'Grand Boulevard',"
-87.6431,34551,"'545 W. Division St.'",60610,"'Near North Side',"
-87.6247,28836,"'4500 S. Wabash Ave.'",60653,"'Grand Boulevard',"
-87.6431,27743,"'545 W. Division St.'",60610,"'Near North Side',"
-87.6482,19613,"'6415 S. Sangamon St.'",60621,"'Englewood',"
-87.7209,18360,"'10 N. Hamlin Ave.'",60613,"'North Lawndale',"
-87.7209,18360,"'6 N. Hamlin Blvd.'",60624,"'West Garfield Park',"
-87.7086,16005,"'3248 W. Division St.'",60651,"'Humboldt Park',"
-87.7086,16005,"'4814-58 N. Kedzie Ave.'",60625,"'Albany Park',"
-87.6897,15277,"'5822 N. Western Ave.'",60659,"'West Ridge',"
-87.6897,15277,"'2626 W. 63rd St.'",60629,"'Chicago Lawn',"
-87.6897,15277,"'2626 W. 63rd St.'",60629,"'Chicago Lawn',"
-87.6676,15059,"'1038-40 N. Ashland Ave.'",60622,"'West Town',"
-87.6676,15059,"'1100 N. Ashland Ave.'",60622,"'West Town',"
-87.6247,14972,"'4500 S. Wabash Ave.'",60653,"'Grand Boulevard',"
-87.6255,14812,"'1801 S. Wabash St.'",60616,"'Near South Side',"
-87.6836,13128,"'4845 S. Western Blvd.'",60609,"'New City',"
-87.6482,12742,"'6415 S. Sangamon St.'",60621,"'Englewood',"
-87.6623,10361,"'1427 W. Cullerton St.'",60608,"'Lower West Side',"
-87.7209,9981,"'10 N. Hamlin Ave.'",60613,"'North Lawndale',"
-87.7209,9981,"'6 N. Hamlin Blvd.'",60624,"'West Garfield Park',"
-87.6874,9662,"'2425 W. Adams St.'",60612,"'Near West Side',"
-87.6472,9023,"'850 W. Garfield Blvd.'",60609,"'New City',"
-87.6472,9018,"'850 W. Garfield Blvd.'",60609,"'New City',"
-87.705,8999,"'505 N. Troy St.'",60612,"'Humboldt Park',"
-87.6678,8575,"'1241 N. Milwaukee Ave.'",60622,"'West Town',"
-87.7022,8305,"'2451-57 N. Sacramento Ave.'",60612,"'Logan Square',"
-87.7284,6425,"'5801 N. Pulaski Road'",60646,"'North Park',"
-87.7284,6425,"'5801 N. Pulaski Road'",60646,"'North Park',"
-87.7284,6425,"'5801 N. Pulaski Road'",60646,"'North Park',"
-87.6676,5783,"'1100 N. Ashland Ave.'",60622,"'West Town',"
-87.6676,5783,"'1038-40 N. Ashland Ave.'",60622,"'West Town',"
-87.687,5556,"'2324 W. Irving Park Road'",60618,"'North Center',"
-87.7464,5455,"'2715 N. Cicero Ave.'",60639,"'Belmont Cragin',"
-87.689,5358,"'4618 N. Western Ave.'",60625,"'Lincoln Square',"
-87.705,5189,"'505 N. Troy St.'",60612,"'Humboldt Park',"
-87.687,4654,"'2324 W. Irving Park Road'",60618,"'North Center',"
-87.709,3832,"'614 N. Spaulding Ave.'",60624,"'Humboldt Park',"
-87.7037,3659,"'3053 W. Franklin Blvd.'",60612,"'Humboldt Park',"
-87.6551,3622,"'4946 N. Sheridan Road'",60640,"'Uptown',"
-87.8071,3483,"'5700 N. Harlem Ave.'",60631,"'Norwood Park',"
-87.6828,1991,"'2237 W. Maypole Ave.'",60612,"'Near West Side',"
-87.6996,1644,"'6142 N. California Ave.'",60659,"'West Ridge',"
-87.7193,1626,"'1331 S. Independence Blvd.'",60623,"'North Lawndale',"
-87.6902,1558,"'320 S. Maplewood Ave.'",60612,"'Near West Side',"
-87.6759,906,"'1939 W. Lake St.'",60612,"'Near West Side',"
-87.6651,721,"'6808 N. Wayne Ave.'",60626,"'Rogers Park',"
-87.7649,623,"'126 S. Central Ave.'",60644,"'Austin',"
-87.6876,521,"'2404-14 W. Cortland St.'",60647,"'Logan Square',"
