address,latitude,longitude,violations
'4200 S CICERO AVENUE',41.8167,-87.7435,133894
'400 W BELMONT AVE',41.9402,-87.6396,109145
'400 S WESTERN AVENUE',41.8761,-87.6864,69563
'7600 S STONY ISLAND A',41.7569,-87.5862,68772
'1 E 79TH STREET',41.7509,-87.6245,61409
'2800 W DIVERSEY',41.9322,-87.6977,55735
'30 W 87TH STREET',41.7364,-87.6256,54718
'5200 S CICERO AVE',41.7986,-87.7431,50143
'1000 W HOLLYWOOD AVE',41.9856,-87.6553,49603
'800 W ROOSEVELT ROAD',41.8673,-87.647,49111
'1900 N ASHLAND AVE',41.9161,-87.6679,40202
'8700 S LAFAYETTE AVEN',41.7362,-87.6256,38820
'500 N COLUMBUS DRIVE',41.891,-87.6204,38603
'2400 N ASHLAND AVENUE',41.9252,-87.6683,37749
'5200 W MADISON STREET',41.8805,-87.7551,37199
'9900 S HALSTED ST',41.7141,-87.6431,34551
'6700 S CORNELL DRIVE',41.7733,-87.5852,34325
'100 N CICERO AVENUE',41.8819,-87.7455,30818
'3200 N KEDZIE AVE',41.9394,-87.7078,29970
'1 E 75TH STREET',41.7581,-87.6247,28836
'800 W 99TH ST',41.7143,-87.6431,27743
'848 W 87TH STREET',41.7362,-87.6454,27008
'100 W CHICAGO AVENUE',41.8967,-87.6313,26536
'200 W GARFIELD BLVD',41.7947,-87.6305,26291
'7500 S STATE STREET',41.7581,-87.6249,25708
'2000 W DIVISION',41.9033,-87.6774,25473
'6700 S STONY ISLAND A',41.7733,-87.5864,24234
'150 N SACRAMENTO BOUL',41.884,-87.7014,23690
'3600 N CICERO AVENUE',41.9462,-87.7472,22813
'2400 N WESTERN AVENUE',41.9249,-87.6878,22294
'1 E 63RD ST',41.7799,-87.6253,21808
'500 W ROOSEVELT ROAD',41.8674,-87.6393,21019
'4400 W NORTH',41.9099,-87.7364,20488
'6400 N SHERIDAN ROAD',41.9982,-87.6607,20134
'8700 S VINCENNES',41.736,-87.6453,19920
'1200 N HALSTED',41.9037,-87.6482,19613
'4400 W OGDEN AVENUE',41.8478,-87.7345,19177
'2000 W FULLERTON AVE',41.9251,-87.678,18667
'11100 S HALSTED ST',41.6923,-87.6425,18431
'3800 W MADISON STREET',41.8809,-87.7209,18360
'4800 W NORTH AVENUE',41.9097,-87.7462,17796
'3200 N LAKESHORE DRIV',41.9409,-87.6394,17727
'4800 W 47TH ST',41.8077,-87.7432,17028
'300 N HAMLIN AVENUE',41.8853,-87.7211,16898
'6400 W FULLERTON AVENU',41.9238,-87.7856,16734
'3216 W ADDISON ST',41.9467,-87.7086,16005
'4700 S WESTERN AVENUE',41.8084,-87.6846,15700
'5930 N CLARK STREET',41.9893,-87.6701,15652
'11900 S HALSTED',41.6777,-87.6421,15619
'2400 W PETERSON',41.9906,-87.6897,15277
'5200 N NAGLE',41.9757,-87.788,15223
'1200 S CANAL STREET',41.8672,-87.6394,15207
'1200 N ASHLAND AVENUE',41.9034,-87.6676,15059
'7900 S STATE STREET',41.7509,-87.6247,14972
'800 N SACRAMENTO AVEN',41.8956,-87.7024,14903
'4800 N CICERO AVE',41.968,-87.7479,14867
'4400 N WESTERN AVENUE',41.9614,-87.6888,14856
'6300 S DAMEN AVENUE',41.7792,-87.6741,14854
'6300 S STATE ST',41.78,-87.6255,14812
'5400 S ARCHER AVE',41.7988,-87.743,14248
'6800 W GRAND AVENUE',41.9237,-87.7953,14101
'3500 S WESTERN',41.8302,-87.6852,13998
'9500 S ASHLAND AVENUE',41.7212,-87.6628,13881
'628 N MICHIGAN AVE',41.8934,-87.6244,13852
'6300 S PULASKI RD',41.7786,-87.7229,13557
'3400 W NORTH AVE',41.9102,-87.712,13478
'4800 N CICERO AVENUE',41.968,-87.7479,13386
'4000 W IRVING PARK RD',41.9538,-87.7277,13367
'4000 W ROOSEVELT ROAD',41.8663,-87.7252,13344
'1600 W 87TH ST',41.7359,-87.6631,13132
