"address","latitude","longitude","violations"
"'4200 S CICERO AVENUE'",41.81672939,-87.74353671,133894
"'400 W BELMONT AVE'",41.94024119,-87.63963911,109145
"'400 S WESTERN AVENUE'",41.87606478,-87.68641563,69563
"'7600 S STONY ISLAND A'",41.75689717,-87.58623429,68772
"'1 E 79TH STREET'",41.7508521,-87.62446383,61409
"'2800 W DIVERSEY'",41.9322054,-87.69767924,55735
"'30 W 87TH STREET'",41.73637604,-87.62562131,54718
"'5200 S CICERO AVE'",41.79855828,-87.74307187,50143
"'1000 W HOLLYWOOD AVE'",41.9856498,-87.65533581,49603
"'800 W ROOSEVELT ROAD'",41.8672631,-87.64697269,49111
"'1900 N ASHLAND AVE'",41.91614728,-87.66794735,40202
"'8700 S LAFAYETTE AVEN'",41.73616511,-87.62558757,38820
"'500 N COLUMBUS DRIVE'",41.89104457,-87.62037184,38603
"'2400 N ASHLAND AVENUE'",41.92519389,-87.66829436,37749
"'5200 W MADISON STREET'",41.88048075,-87.75513043,37199
"'9900 S HALSTED ST'",41.71411887,-87.64314541,34551
"'6700 S CORNELL DRIVE'",41.77325149,-87.5852246,34325
"'100 N CICERO AVENUE'",41.88187971,-87.74548925,30818
"'3200 N KEDZIE AVE'",41.93935173,-87.70784659,29970
"'1 E 75TH STREET'",41.75807411,-87.62467166,28836
"'800 W 99TH ST'",41.71432334,-87.64306671,27743
"'848 W 87TH STREET'",41.73615755,-87.6454274,27008
"'100 W CHICAGO AVENUE'",41.89674435,-87.63132125,26536
"'200 W GARFIELD BLVD'",41.79467039,-87.63054748,26291
"'7500 S STATE STREET'",41.75809218,-87.62490223,25708
"'2000 W DIVISION'",41.90329879,-87.67738325,25473
"'6700 S STONY ISLAND A'",41.7732929,-87.58644237,24234
"'150 N SACRAMENTO BOUL'",41.88401218,-87.70143648,23690
"'3600 N CICERO AVENUE'",41.94616352,-87.74721517,22813
"'2400 N WESTERN AVENUE'",41.92493594,-87.68779026,22294
"'1 E 63RD ST'",41.77994911,-87.62528955,21808
"'500 W ROOSEVELT ROAD'",41.86736269,-87.6392932,21019
"'4400 W NORTH'",41.90986357,-87.7363803,20488
"'6400 N SHERIDAN ROAD'",41.99821792,-87.66069526,20134
"'8700 S VINCENNES'",41.73600657,-87.64534182,19920
"'1200 N HALSTED'",41.90369831,-87.64824535,19613
"'4400 W OGDEN AVENUE'",41.84777752,-87.73450597,19177
"'2000 W FULLERTON AVE'",41.92513494,-87.67796355,18667
"'11100 S HALSTED ST'",41.69226312,-87.64252269,18431
"'3800 W MADISON STREET'",41.88089727,-87.72088123,18360
"'4800 W NORTH AVENUE'",41.90973389,-87.74624497,17796
"'3200 N LAKESHORE DRIV'",41.94090916,-87.63936916,17727
"'4800 W 47TH ST'",41.80772702,-87.74322937,17028
"'300 N HAMLIN AVENUE'",41.88528264,-87.72106954,16898
"'6400 W FULLERTON AVENU'",41.92378619,-87.78556721,16734
"'3216 W ADDISON ST'",41.94673476,-87.70860977,16005
"'4700 S WESTERN AVENUE'",41.80837841,-87.68457072,15700
"'5930 N CLARK STREET'",41.98929863,-87.67010412,15652
"'11900 S HALSTED'",41.67772083,-87.64205185,15619
"'2400 W PETERSON'",41.99060901,-87.68973548,15277
"'5200 N NAGLE'",41.97568567,-87.78802041,15223
"'1200 S CANAL STREET'",41.86717513,-87.63937581,15207
"'1200 N ASHLAND AVENUE'",41.90337747,-87.66764314,15059
"'7900 S STATE STREET'",41.75091814,-87.62469012,14972
"'800 N SACRAMENTO AVEN'",41.89564071,-87.70235233,14903
"'4800 N CICERO AVE'",41.96804801,-87.74787599,14867
"'4400 N WESTERN AVENUE'",41.96140185,-87.68883262,14856
"'6300 S DAMEN AVENUE'",41.77922692,-87.67405273,14854
"'6300 S STATE ST'",41.78000828,-87.62552251,14812
"'5400 S ARCHER AVE'",41.79875821,-87.74302054,14248
"'6800 W GRAND AVENUE'",41.92370819,-87.79530078,14101
"'3500 S WESTERN'",41.83018726,-87.68517793,13998
"'9500 S ASHLAND AVENUE'",41.72116061,-87.66282814,13881
"'628 N MICHIGAN AVE'",41.89343227,-87.62436372,13852
"'6300 S PULASKI RD'",41.77863647,-87.72290636,13557
"'3400 W NORTH AVE'",41.91016285,-87.71195387,13478
"'4800 N CICERO AVENUE'",41.96804801,-87.74787599,13386
"'4000 W IRVING PARK RD'",41.95375687,-87.72769851,13367
"'4000 W ROOSEVELT ROAD'",41.866281,-87.72523422,13344
"'1600 W 87TH ST'",41.73589862,-87.66312878,13132
"'6700 S WESTERN AVENUE'",41.77188403,-87.6835884,13128
"'5000 S ARCHER AVE'",41.80236597,-87.72357677,13083
"'1600 W 95TH STREET'",41.72132441,-87.66272415,12853
"'2000 N KEDZIE AVENUE'",41.91744617,-87.70711607,12786
"'800 W DIVISION'",41.90374556,-87.64816701,12742
"'4000 W ARMITAGE AVENUE'",41.91727507,-87.72662275,12581
"'600 S CICERO AVENUE'",41.87309483,-87.74514387,12529
"'1600 E 95TH STREET'",41.72244946,-87.58500357,12496
"'4000 W CERMAK'",41.85165437,-87.72488298,12398
"'400 N CENTRAL AVENUE'",41.88780462,-87.7652685,12303
"'4440 W LAWRENCE AVENUE'",41.9682264,-87.73959925,12275
"'5500 S WESTERN AVE'",41.79337055,-87.68417538,12201
"'9500 S HALSTED STREET'",41.72136506,-87.64335804,12192
"'4400 W ROOSEVELT'",41.86614087,-87.73508956,12071
"'2800 N CALIFORNIA AVE'",41.93212072,-87.6977653,11980
"'1200 N PULASKI ROAD'",41.9027139,-87.72645146,11877
"'2348 S KOSTNER AVENUE'",41.84806885,-87.73454746,11859
"'4400 W GRAND AVE'",41.91018141,-87.73624887,11660
"'6400 W IRVING PK'",41.95302475,-87.78668324,11613
"'2400 W FOSTER AVE'",41.97600019,-87.68927508,11463
"'3600 N WESTERN AVENUE'",41.94681992,-87.68840666,11310
"'2200 S WESTERN AVENUE'",41.85198384,-87.6857857,11077
"'400 N LASALLE'",41.88922537,-87.63267412,10723
"'4800 N ASHLAND AVENUE'",41.96902343,-87.66959043,10676
"'800 W FULLERTON AVENUE'",41.92556279,-87.64882364,10584
"'1300 W IRVING PARK ROAD'",41.95448757,-87.6622935,10361
"'7100 S COTTAGE GROVE'",41.76580035,-87.60572913,10286
"'4000 W FOSTER AVE'",41.97564062,-87.72833547,10231
"'7900 S HALSTED STREET'",41.75054956,-87.64418837,10173
"'1600 N HALSTED STREET'",41.91094064,-87.64841904,10100
"'0 N HAMLIN BOULEVARD'",41.88084148,-87.72090219,9981
"'8700 S ASHLAND AVE'",41.73569699,-87.66320954,9950
"'1600 W 71ST'",41.76501831,-87.66385923,9937
"'2600 S KEDZIE AVENUE'",41.84442483,-87.70518545,9859
"'300 S MICHIGAN AVE'",41.87821735,-87.62445584,9763
"'4000 W FULLERTON AVE'",41.92459302,-87.72681927,9743
"'2800 N DAMEN AVENUE'",41.93232949,-87.67828272,9708
"'1600 N WESTERN AVE'",41.91040902,-87.68737027,9662
"'6400 W DEVON AVENUE'",41.99746398,-87.78761024,9643
"'3200 W 79TH ST'",41.749952,-87.70244848,9556
"'2400 W 55TH STREET'",41.79398135,-87.68414174,9541
"'400 E 31ST STREET'",41.83853402,-87.61704611,9329
"'3200 W IRVING PARK ROAD'",41.95402905,-87.70807749,9198
"'4000 W CHICAGO AVENUE'",41.89547675,-87.72614436,9050
"'1 S HALSTED STREET'",41.88171706,-87.64721054,9023
"'1 N HALSTED STREET'",41.88181563,-87.64721472,9018
"'800 N CENTRAL AVENUE'",41.89489658,-87.76554326,9008
"'3100 S KEDZIE AVENUE'",41.83713267,-87.70496712,8999
"'2200 S PULASKI'",41.85152144,-87.72490479,8834
"'1200 S KOSTNER'",41.86593884,-87.73510855,8582
"'2800 W PETERSON AVENUE'",41.99055208,-87.6994644,8580
"'1600 W CORTLAND ST'",41.91623534,-87.66783777,8575
"'7100 S KEDZIE AVENUE'",41.76429504,-87.70295716,8531
"'3600 N HARLEM AVENUE'",41.94533841,-87.80715477,8494
"'800 W NORTH AVENUE'",41.91102851,-87.64833581,8447
"'800 N CICERO AVENUE'",41.89504904,-87.74595552,8370
"'1200 S PULASKI ROAD'",41.86607934,-87.725306,8352
"'1600 W LAWRENCE AVENUE'",41.96898746,-87.66951631,8320
"'3000 W CHICAGO AVENUE'",41.89570453,-87.70221852,8305
"'2800 N CICERO AVENUE'",41.93157561,-87.7467433,8190
"'2800 N WESTERN AVENUE'",41.93221699,-87.68803328,8179
"'7900 S WESTERN AVE'",41.75005493,-87.6829922,8099
"'6000 N WESTERN AVE'",41.99058604,-87.68982247,8093
"'7100 S ASHLAND'",41.76485938,-87.66394018,7987
"'5200 N BROADWAY ST'",41.97641214,-87.66001508,7957
"'5075 W MONTROSE AVENUE'",41.96052209,-87.75437142,7950
"'1600 E 79TH ST'",41.75161152,-87.58559228,7949
"'2000 W DIVERSEY PARKWAY'",41.93239416,-87.67817303,7934
"'2426 N DAMEN AVE'",41.92573171,-87.6780889,7909
"'5200 W FULLERTON AVENUE'",41.9242158,-87.75621076,7908
"'7200 N WESTERN AVENUE'",42.01237134,-87.69039392,7751
"'4000 W PETERSON AVENUE'",41.99024419,-87.72871439,7745
"'4700 S KEDZIE AVE'",41.80804727,-87.70411882,7727
"'5600 W LAKE STREET'",41.88783874,-87.76518366,7641
"'3200 N HARLEM AVE'",41.93808447,-87.80689675,7552
"'2400 N CLARK ST'",41.92559762,-87.64065097,7404
"'6400 N WESTERN AVENUE'",41.99781781,-87.69003304,7319
"'1600 W MADISON'",41.88156417,-87.66692946,7283
"'6000 N CICERO AVENUE'",41.98997392,-87.74847302,7276
"'2400 N CICERO AVE'",41.92428359,-87.74645019,7229
"'800 W 119TH STREET'",41.67792339,-87.64198965,7182
"'4800 N WESTERN AVENUE'",41.96864073,-87.68905424,7155
"'7200 W BELMONT AVE'",41.93810548,-87.80680955,7142
"'6000 W DIVERSEY AVENUE'",41.93124862,-87.77602861,7047
"'5200 N WESTERN AVE'",41.97593337,-87.68929959,7018
"'2400 W MARQUETTE ROAD'",41.77208621,-87.68350886,6954
"'4800 W CHICAGO AVENUE'",41.89511222,-87.74593243,6878
"'7432 W TOUHY AVENUE'",42.01166177,-87.81278143,6543
"'1200 W DEVON AVE'",41.99829823,-87.66061166,6534
"'800 W 111TH ST'",41.69246536,-87.6424409,6520
"'9500 S JEFFERY AVE'",41.72237591,-87.5754999,6456
"'5200 N PULASKI RD'",41.97562074,-87.72838314,6425
"'3600 N AUSTIN AVENUE'",41.94581322,-87.77665216,6393
