ADDRESS,LATITUDE,LONGITUDE,VIOLATIONS
0 N ASHLAND AVE,41.881498729,-87.66695122200001,12511
0 N HAMLIN BOULEVARD,41.880841477,-87.720902185,9981
0 S CENTRAL AVENUE,41.880195558000004,-87.76501014700001,802
1 E 63RD ST,41.779949105,-87.62528955299999,21808
1 E 75TH STREET,41.758074111,-87.624671658,28836
1 E 79TH STREET,41.750852095999996,-87.624463832,61409
1 N HALSTED STREET,41.881815632,-87.64721471700001,9018
1 S HALSTED STREET,41.881717056,-87.647210539,9023
1 S WESTERN AVE,41.881118279,-87.686283339,4821
100 E JACKSON BLVD,41.878390124,-87.624237311,3565
100 E ONTARIO ST,41.893426147,-87.625362025,3156
100 N CICERO AVENUE,41.88187971,-87.74548924700001,30818
100 W CHICAGO AVENUE,41.896744346999995,-87.63132124799999,26536
1000 W FOSTER AVE,41.976505116,-87.655031882,5035
1000 W HOLLYWOOD AVE,41.985649799,-87.65533580700001,49603
11100 S HALSTED ST,41.692263123000004,-87.64252268799999,18431
11100 S VINCENNES AVE,41.692160999,-87.663472469,2411
11900 S HALSTED,41.677720829,-87.642051845,15619
1200 N ASHLAND AVENUE,41.903377468,-87.667643142,15059
1200 N HALSTED,41.903698308,-87.648245351,19613
1200 N PULASKI ROAD,41.902713901999995,-87.72645145700001,11877
1200 S CANAL STREET,41.867175125,-87.63937581299999,15207
1200 S KOSTNER,41.865938839,-87.735108549,8582
1200 S PULASKI ROAD,41.866079336999995,-87.725305995,8352
1200 W DEVON AVE,41.998298228,-87.660611661,6534
1200 W FOSTER AVE,41.97643192,-87.659931806,5508
1300 W IRVING PARK ROAD,41.954487567,-87.662293496,10361
140 W KINZIE,41.889297219,-87.63260164799999,3635
150 N SACRAMENTO BOUL,41.884012178,-87.701436479,23690
1600 E 79TH ST,41.751611523,-87.585592284,7949
1600 E 83RD STREET,41.744315875,-87.585316041,791
1600 E 95TH STREET,41.722449456999996,-87.585003569,12496
1600 N HALSTED STREET,41.910940644,-87.64841904299999,10100
1600 N KOSTNER,41.909788304,-87.736404667,3136
1600 N PULASKI AVENUE,41.90997501,-87.72648052299999,3247
1600 N WESTERN AVE,41.910409024,-87.687370268,9662
1600 W 63RD STREET,41.779570436,-87.664293875,245
1600 W 71ST,41.765018306,-87.66385923,9937
1600 W 87TH ST,41.735898617,-87.663128781,13132
1600 W 95TH STREET,41.721324412,-87.662724153,12853
1600 W CORTLAND ST,41.916235336999996,-87.66783777200001,8575
1600 W DIVISION STREET,41.903455316,-87.66755899399999,5783
1600 W GARFIELD BLVD,41.79413322,-87.664645263,1069
1600 W LAWRENCE AVENUE,41.968987457,-87.66951630700001,8320
1600 W MADISON,41.881564167,-87.66692946299999,7283
1900 N ASHLAND AVE,41.916147281,-87.66794735399999,40202
200 W GARFIELD BLVD,41.794670385,-87.630547476,26291
2000 E 79TH STREET,41.751716559,-87.575923074,408
2000 E 95TH ST,41.722579473,-87.57529252299999,4028
2000 N CICERO AVENUE,41.916973325,-87.746260223,6288
